policy,param,N0,K,seed,total_cycles,low_slack_cycles,low_slack_ev_cycles,low_slack2_cycles,low_slack2_ev_cycles,dc_ev_cycles,dc_misses,dc_misses_low_slack,dc_misses_low_slack2,min_plan_slack
acbs,25,0,1,1,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,2,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,3,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,4,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,5,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,6,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,7,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,8,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,9,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,10,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,11,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,12,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,13,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,14,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,15,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,16,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,17,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,18,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,19,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,1,20,120,0,0,0,0,103,0,0,0,1079
acbs,25,0,2,1,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,2,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,3,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,4,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,5,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,6,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,7,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,8,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,9,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,10,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,11,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,12,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,13,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,14,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,15,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,16,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,17,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,18,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,19,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,2,20,120,0,0,0,0,206,0,0,0,1058
acbs,25,0,5,1,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,2,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,3,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,4,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,5,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,6,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,7,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,8,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,9,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,10,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,11,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,12,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,13,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,14,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,15,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,16,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,17,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,18,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,19,120,0,0,0,0,515,0,0,0,995
acbs,25,0,5,20,120,0,0,0,0,515,0,0,0,995
acbs,25,0,10,1,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,2,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,3,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,4,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,5,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,6,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,7,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,8,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,9,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,10,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,11,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,12,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,13,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,14,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,15,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,16,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,17,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,18,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,19,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,10,20,120,0,0,0,0,1030,0,0,0,890
acbs,25,0,20,1,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,2,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,3,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,4,120,0,0,0,0,2060,0,0,0,675
acbs,25,0,20,5,120,0,0,0,0,2060,0,0,0,675
