N,K,bad_sojourn,per_bad,miss_cycles,total_cycles
10,4,3,0.05,0,10000
10,4,3,0.2,0,10000
10,4,3,0.5,0,10000
10,4,15,0.05,0,10000
10,4,15,0.2,0,10000
10,4,15,0.5,0,10000
10,4,60,0.05,0,10000
10,4,60,0.2,0,10000
10,4,60,0.5,0,10000
10,4,300,0.05,0,10000
10,4,300,0.2,0,10000
10,4,300,0.5,2,10000
25,4,3,0.05,0,10000
25,4,3,0.2,0,10000
25,4,3,0.5,0,10000
25,4,15,0.05,0,10000
25,4,15,0.2,0,10000
25,4,15,0.5,0,10000
25,4,60,0.05,0,10000
25,4,60,0.2,1,10000
25,4,60,0.5,0,10000
25,4,300,0.05,5,10000
25,4,300,0.2,2,10000
25,4,300,0.5,8,10000
37,1,3,0.05,779,10000
37,1,3,0.2,616,10000
37,1,3,0.5,446,10000
37,1,15,0.05,548,10000
37,1,15,0.2,237,10000
37,1,15,0.5,127,10000
37,1,60,0.05,376,10000
37,1,60,0.2,150,10000
37,1,60,0.5,36,10000
37,1,300,0.05,368,10000
37,1,300,0.2,111,10000
37,1,300,0.5,136,10000
